78	250	19500	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	-3.9013	24.0393	1	1	1	71.95123	0.1969375	11.70705	1.937073	3.072387E-02	0.3250345	1.113341	2.158116	6.283108	-2.516781E-02	0	95.67744	
0	-3.8963	24.0393	2	1	2	74.70649	0.4993906	11.40788	1.641069	-1.915177E-02	5.911998E-02	0.4005902	2.236597	6.675251	-2.497011E-02	0	97.58228	
0	-3.8913	24.0393	3	1	3	73.36215	0.4361596	11.45415	1.297148	3.211884E-02	-3.610279E-02	0.3031697	2.492218	6.448408	-1.249282E-04	0	95.78929	
0	-3.8863	24.0393	4	1	4	72.86709	0.4150647	11.78518	1.321249	7.141362E-03	-1.307366E-02	0.5547861	2.931971	5.895751	-1.552339E-05	0	95.76514	
0	-3.8813	24.0393	5	1	5	73.19863	0.4377806	11.36904	0.8583677	-3.063767E-02	2.953693E-02	0.3319878	2.251668	6.665915	-2.468006E-02	0	95.08762	
0	-3.8763	24.0393	6	1	6	73.36709	0.3290151	11.7142	0.8932262	0.1080462	3.597166E-02	0.4158973	1.940056	7.128686	4.906098E-02	0	95.98125	
0	-3.8713	24.0393	7	1	7	74.54591	0.2441927	11.57858	0.7279118	0.0201067	-1.562401E-02	0.2343152	1.630697	7.007373	-4.936923E-02	0	95.9241	
0	-3.8663	24.0393	8	1	8	74.02304	0.3726265	11.72591	1.464797	7.664824E-03	2.358125E-03	0.6941131	3.038036	4.972102	2.342615E-04	0	96.30089	
0	-3.8613	24.0393	9	1	9	75.26587	0.3335553	11.71981	0.6469933	6.040553E-02	4.113599E-02	0.9608807	3.804278	3.946157	8.663326E-04	0	96.77994	
0	-3.8563	24.0393	10	1	10	72.72722	0.2191421	11.91259	3.033478	5.723573E-02	0.9211943	2.633438	4.433298	1.66758	2.487925E-02	0	97.63005	
0	-3.8513	24.0393	11	1	11	77.47837	0.229805	11.81143	0.3759645	-3.865146E-02	9.474666E-02	1.504777	4.217543	1.506425	1.751684E-03	0	97.18217	
0	-3.8463	24.0393	12	1	12	74.39543	0.3047623	11.67205	2.807613	0.0822566	0.769123	2.539778	3.500102	2.390594	-1.155761E-05	0	98.46172	
0	-3.8413	24.0393	13	1	13	75.95195	0.3983146	11.85574	0.6233237	0.0351306	-4.066679E-02	0.7654458	3.563989	4.077106	9.012048E-04	0	97.23122	
0	-3.8363	24.0393	14	1	14	73.58987	0.4561259	12.65187	1.90248	6.973945E-02	-1.296791E-02	0.6370595	2.945702	5.483654	-2.482342E-02	0	97.69873	
0	-3.8313	24.0393	15	1	15	72.80569	0.4802368	11.67222	1.08389	8.340886E-02	-3.500297E-02	0.3452853	3.052587	5.947207	7.731256E-05	0	95.43561	
0	-3.8263	24.0393	16	1	16	73.57992	0.3058523	10.78058	1.522313	-0.0446095	-2.286035E-02	0.2891073	1.73878	7.072899	-3.752559E-04	0	95.2216	
0	-3.8213	24.0393	17	1	17	74.06676	0.3511175	11.44918	0.9175192	-5.630472E-03	3.547656E-02	0.2199115	1.644603	7.069726	0.147894	0	95.89657	
0	-3.8163	24.0393	18	1	18	73.44185	0.3915404	11.05467	1.593213	0.1198692	0.5184036	0.8898235	2.491038	6.278108	-3.853998E-04	0	96.77812	
0	-3.8113	24.0393	19	1	19	75.13907	0.2031751	11.99882	0.420149	-2.935614E-02	5.222348E-02	0.2349544	2.633961	6.486658	4.986519E-02	0	97.18951	
0	-3.8063	24.0393	20	1	20	73.65126	0.1807811	11.73559	0.6216983	-1.710902E-02	-2.862744E-02	0.206599	2.451577	6.45343	-0.0244333	0	95.23077	
0	-3.8013	24.0393	21	1	21	74.55378	0.287725	11.59219	0.8827071	-4.278164E-02	8.510517E-03	0.2901905	2.709187	6.377009	1.89916E-04	0	96.65871	
0	-3.7963	24.0393	22	1	22	74.22479	0.394964	11.72702	1.001384	4.579791E-02	-0.0207486	0.3317192	2.682263	5.900545	7.437946E-02	0	96.36212	
0	-3.7913	24.0393	23	1	23	75.72352	0.5687014	12.06669	0.6812958	8.461871E-03	0.0162722	0.3181444	2.830818	5.838155	4.987237E-02	0	98.10193	
0	-3.7863	24.0393	24	1	24	75.20354	0.4389955	11.93062	0.8355967	-4.404315E-03	-8.683412E-02	0.2761011	2.708319	5.862689	3.509164E-04	0	97.16496	
0	-3.7813	24.0393	25	1	25	74.92609	0.350277	11.56668	1.809364	3.270761E-02	1.700627E-02	0.5259086	2.846318	4.769676	0.1488339	0	96.99285	
0	-3.7763	24.0393	26	1	26	75.6973	0.2272143	12.61243	0.731233	-2.058567E-03	-3.196066E-02	1.336872	4.110192	2.647545	5.104587E-02	0	97.37981	
0	-3.7713	24.0393	27	1	27	72.36536	0.2825629	11.67947	2.210342	4.337405E-02	0.1277261	1.3489	2.747357	5.529871	2.413201E-02	0	96.3591	
0	-3.7663	24.0393	28	1	28	74.02287	0.6090621	11.75643	1.393069	-9.378653E-02	-5.723066E-02	0.2890946	2.93155	5.725649	9.895342E-02	0	96.67567	
