145	92	13340	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	20.4249	19.2256	1	1	1	59.26667	0.1808061	24.96268	0.3364593	4.635016E-02	-3.773094E-02	7.251318	6.784575	1.165933	-1.22447E-04	0	99.95695	
0	20.4299	19.2256	2	1	2	56.36668	0.0459813	22.70379	2.397051	5.356468E-03	0.1061848	6.46208	6.083127	1.23497	-2.526928E-02	0	95.37994	
0	20.4349	19.2256	3	1	3	59.83577	7.307219E-02	23.71395	0.3719638	-1.702335E-02	6.059931E-02	7.493137	6.853275	1.269463	2.422343E-02	0	99.67844	
0	20.4399	19.2256	4	1	4	62.8574	5.331242E-02	25.06896	0.4323663	-7.904708E-02	-1.505305E-02	6.042796	6.733269	1.351125	2.484352E-02	0	102.47	
0	20.4449	19.2256	5	1	5	61.34595	5.215882E-02	25.34297	0.6807296	-3.849073E-03	-6.844517E-03	6.2606	7.224841	1.381451	-2.438844E-02	0	102.2536	
0	20.4499	19.2256	6	1	6	36.93021	-6.824824E-02	12.10143	14.27669	-5.863197E-02	0.1793354	4.297398	3.522195	1.359232	3.943375E-02	0	72.57905	
0	20.4549	19.2256	7	1	7	55.27825	5.707041E-03	22.23671	1.532629	-5.848986E-03	3.798005E-02	6.068221	6.229174	1.423036	2.390587E-02	0	92.82977	
0	20.4599	19.2256	8	1	8	59.13268	-3.314707E-02	23.19147	0.4201521	4.704874E-02	4.576765E-02	5.775347	6.662784	1.399315	2.075759E-04	0	96.64162	
0	20.4649	19.2256	9	1	9	58.60454	0.1366427	23.6497	0.5968094	-4.881606E-03	-8.124208E-03	7.113187	6.379782	1.523357	4.847612E-02	0	98.03949	
0	20.4699	19.2256	10	1	10	59.70565	0.1166966	24.52983	0.502797	-3.857386E-03	3.094919E-02	6.44167	7.065757	1.298791	4.896891E-02	0	99.73724	
0	20.4749	19.2256	11	1	11	60.96642	-0.0127478	25.00594	0.6448365	0.1348231	0.0381268	6.49731	6.965135	1.318398	-2.447918E-02	0	101.5338	
0	20.4799	19.2256	12	1	12	60.60292	0.1810752	24.82472	0.4434157	-3.959508E-03	3.647237E-04	6.666235	6.996785	1.373271	-4.280122E-06	0	101.0848	
0	20.4849	19.2256	13	1	13	59.5248	9.545415E-02	24.72649	0.4554943	-3.71312E-03	-6.004294E-02	6.233582	6.750795	1.345323	4.906156E-02	0	99.11723	
0	20.4899	19.2256	14	1	14	59.11023	0.1818124	24.46572	0.3607948	-4.141169E-02	6.081612E-02	6.121593	6.824075	1.32602	-4.881055E-02	0	98.36084	
0	20.4949	19.2256	15	1	15	59.56774	9.487071E-03	23.72684	0.4674009	4.683642E-02	1.548694E-02	6.150407	6.712226	1.280447	4.911064E-02	0	98.02599	
0	20.4999	19.2256	16	1	16	59.02387	0.1385594	24.68824	0.4081033	9.002296E-03	1.530975E-02	6.148904	6.684728	1.306264	1.292059E-04	0	98.42311	
0	20.5049	19.2256	17	1	17	59.00752	9.985583E-03	23.95129	0.3133997	2.184118E-02	9.168758E-02	6.165097	7.088838	1.316297	4.913967E-02	0	98.01511	
0	20.5099	19.2256	18	1	18	60.75101	-5.483117E-02	24.18242	0.491181	0.0342903	0.0765196	6.179571	7.172862	1.375421	1.52559E-04	0	100.2086	
0	20.5149	19.2256	19	1	19	59.48234	0.1380733	24.10916	0.3247529	8.602797E-03	3.064127E-02	6.932181	6.953682	1.313379	-4.894443E-02	0	99.24387	
0	20.5199	19.2256	20	1	20	59.12077	9.191683E-03	24.65903	0.372323	0.0213376	6.667735E-02	6.654972	6.103836	1.317975	2.448593E-02	0	98.3506	
0	20.5249	19.2256	21	1	21	59.37832	0.1807904	24.40613	0.4432308	2.114167E-02	8.331659E-02	6.678982	6.843775	1.37908	2.437098E-02	0	99.43913	
0	20.5299	19.2256	22	1	22	59.60369	9.262004E-03	23.85138	0.5028831	2.141907E-02	7.533486E-03	6.304122	6.509872	1.276661	2.456667E-02	0	98.11137	
0	20.5349	19.2256	23	1	23	59.05104	9.140011E-03	24.72687	0.526491	-6.712417E-02	-2.266732E-02	6.597305	6.590638	1.311381	2.447367E-02	0	98.74755	
0	20.5399	19.2256	24	1	24	60.08963	8.737464E-03	24.44571	0.4314023	-8.008005E-02	6.725079E-02	7.285287	6.495932	1.351874	4.874006E-02	0	100.1445	
0	20.5449	19.2256	25	1	25	58.89289	5.187429E-02	23.50434	0.3128085	-4.182334E-03	-3.780143E-02	7.087819	6.586015	1.29979	-1.101434E-04	0	97.69344	
0	20.5499	19.2256	26	1	26	59.76413	-5.586322E-02	24.31896	0.3720214	8.33608E-03	2.967571E-02	7.452309	6.507677	1.234101	-1.464308E-04	0	99.6312	
0	20.5549	19.2256	27	1	27	58.76026	0.1591481	23.72542	0.3957241	5.893007E-02	3.758409E-02	6.915619	6.508161	1.182808	-2.455318E-02	0	97.71909	
0	20.5599	19.2256	28	1	28	58.45143	0.0739199	24.3137	0.4080191	-2.904613E-02	2.247648E-02	6.401126	6.450251	1.259725	2.454297E-02	0	97.37614	
0	20.5649	19.2256	29	1	29	59.09567	-0.1417864	24.04962	0.3602198	8.387229E-03	6.821037E-03	7.313977	6.27721	1.260509	2.431844E-02	0	98.25494	
0	20.5699	19.2256	30	1	30	58.28274	0.1154714	24.04264	0.4308509	0.1469667	-6.054625E-02	7.124138	6.641143	1.3149	4.855905E-02	0	98.08686	
0	20.5749	19.2256	31	1	31	60.09192	-3.346254E-02	24.13951	0.348788	-0.0416524	-9.782285E-02	6.726044	6.771266	1.29207	-4.887209E-02	0	99.1478	
0	20.5799	19.2256	32	1	32	60.22763	5.157166E-02	23.73752	0.443153	-4.225983E-02	6.034207E-02	7.269705	6.738729	1.335329	2.427066E-02	0	99.846	
0	20.5849	19.2256	33	1	33	58.23164	8.499254E-03	23.72941	0.5260252	4.619517E-02	8.441671E-04	6.94274	7.108528	1.214942	7.312289E-02	0	97.88194	
0	20.5899	19.2256	34	1	34	58.72758	8.767038E-03	23.99008	0.5025079	-6.736831E-02	2.332566E-02	7.015396	7.040312	1.283477	-2.454617E-02	0	98.49953	
0	20.5949	19.2256	35	1	35	60.13956	0.138121	25.27676	0.5502096	-2.913458E-02	-4.526059E-02	6.288504	6.652711	1.390769	4.900661E-02	0	100.4112	
0	20.5999	19.2256	36	1	36	59.51535	5.196134E-02	24.14158	0.4433879	0.071786	-8.277812E-04	6.457649	6.069188	1.298853	2.449536E-02	0	98.07343	
0	20.6049	19.2256	37	1	37	60.71288	0.2240748	23.98683	0.3722734	2.127991E-02	0.1049138	6.680662	6.410906	1.282071	2.446922E-02	0	99.82036	
0	20.6099	19.2256	38	1	38	59.96823	-9.849872E-02	24.61773	0.5025586	0.046463	6.888905E-02	6.890406	7.234362	1.310518	2.439869E-02	0	100.5651	
0	20.6149	19.2256	39	1	39	60.19637	-7.637313E-02	24.10606	0.3725145	-0.0163251	-1.446558E-02	6.613864	7.047152	1.328238	-4.885809E-02	0	99.50817	
0	20.6199	19.2256	40	1	40	59.8031	9.459695E-02	24.57674	0.5974211	3.368922E-02	-1.577956E-02	6.636387	6.170224	1.177631	9.783423E-02	0	99.17183	
0	20.6249	19.2256	41	1	41	58.65173	9.486229E-02	24.85886	0.2890107	9.695311E-02	2.282862E-02	7.027982	6.859344	1.280118	-1.01512E-04	0	99.18158	
0	20.6299	19.2256	42	1	42	59.5654	-3.423444E-02	24.6384	0.3483087	-2.950886E-02	5.268259E-02	7.451891	6.770703	1.298991	-1.462439E-04	0	100.0625	
0	20.6349	19.2256	43	1	43	59.67086	-1.166574E-02	23.94613	0.3370778	-4.145957E-02	-1.465181E-02	6.542787	6.807169	1.172037	4.910841E-02	0	98.4574	
0	20.6399	19.2256	44	1	44	59.07891	0.1160631	24.32686	0.5498127	-0.0295235	2.346394E-02	6.942422	7.158157	1.25095	2.430195E-02	0	99.44142	
0	20.6449	19.2256	45	1	45	59.39532	-1.268909E-02	24.58593	0.4194578	8.457577E-03	4.592252E-02	7.224985	7.111642	1.234352	2.431175E-02	0	100.0377	
0	20.6499	19.2256	46	1	46	59.71532	5.208473E-02	24.57868	0.3484807	-4.016779E-03	3.030722E-02	7.113935	6.829409	1.202468	4.883031E-02	0	99.9155	
