98	179	17542	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"BaO WT%"	"K2O WT%"	"SrO WT%"	"CaO WT%"	"TiO2 WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-4.815	-36.589	1	1	1	45.70343	31.75459	0.6058085	-1.612239E-02	0.1530189	0.3940771	17.64689	-2.012031E-02	1.789882	6.278466E-02	0	98.07425
0	-4.8145	-36.589	2	1	2	46.20595	31.71922	0.608067	-0.0155249	0.1438069	0.1751631	17.69601	3.173564E-02	1.704763	0.0657298	0	98.33493
0	-4.814	-36.589	3	1	3	46.08745	31.04504	0.6447012	1.445178E-02	0.1528586	0.2544994	17.44529	3.154056E-02	1.742119	8.124164E-02	0	97.49921
0	-4.8135	-36.589	4	1	4	46.44891	31.15812	0.597312	1.448812E-02	0.1707164	0.2752644	17.53472	2.296191E-02	1.814356	5.463719E-02	0	98.0915
0	-4.813	-36.589	5	1	5	46.2205	31.08873	0.631548	-1.574308E-02	0.1533633	0.2810531	17.37943	1.873212E-02	1.845271	6.342068E-02	0	97.66631
0	-4.8125	-36.589	6	1	6	46.43443	31.53793	0.6553584	-6.622963E-02	0.1592894	0.3397749	17.31317	8.326329E-02	1.893343	5.627818E-02	0	98.4066
0	-4.812	-36.589	7	1	7	46.67804	31.28548	0.6463577	-2.586706E-02	0.1675583	0.3550199	17.23504	-1.995226E-02	1.858262	6.275724E-02	0	98.24269
0	-4.8115	-36.589	8	1	8	46.32735	31.1674	0.5964807	-6.595117E-02	0.1734005	0.2385875	17.33603	6.193954E-02	1.831923	7.072764E-02	0	97.73788
0	-4.811	-36.589	9	1	9	46.88242	31.18122	0.6185278	-3.575505E-02	0.1877533	0.285511	17.26925	1.884522E-02	1.824182	6.373957E-02	0	98.29569
0	-4.8105	-36.589	10	1	10	46.67929	31.48003	0.6092147	0.0145026	0.1543744	0.3286085	17.32417	6.164467E-02	1.834825	6.599642E-02	0	98.55266
0	-4.81	-36.589	11	1	11	46.28905	31.2863	0.6204996	6.458496E-02	0.1599126	0.3659694	17.56184	0.0399037	1.83753	6.076084E-02	0	98.28635
