103	98	10094	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	10.1089	18.3736	1	1	1	32.75547	7.791608	9.509961E-02	0.6091409	0.1486317	-1.278337E-02	5.031643E-02	-0.101279	0.3088745	0	20.61798	41.64507
0	10.1099	18.3736	2	1	2	32.47575	7.774098	8.316926E-02	0.6156717	0.1211407	-5.566566E-02	5.064379E-02	-4.136388E-02	0.1935946	0	20.42665	41.21704
0	10.1109	18.3736	3	1	3	32.35527	7.443353	0.1277113	0.6969839	0.1484927	1.465417E-03	5.014974E-02	0.1323566	9.834383E-02	0	20.28746	41.05413
0	10.1119	18.3736	4	1	4	32.30405	7.680339	0.1126353	0.573221	0.1432335	2.267401E-03	0.1291308	1.982156E-02	9.377913E-03	0	20.36818	40.97408
0	10.1129	18.3736	5	1	5	32.62696	7.848891	0.152617	0.5841437	0.1269172	0.001635	0.1023182	0.1334361	5.269017E-02	0	20.62511	41.62962
0	10.1139	18.3736	6	1	6	32.53082	7.87046	0.1602885	0.6505258	0.1470032	-2.659248E-02	6.830391E-02	0.0484727	8.753772E-03	0	20.52941	41.45803
0	10.1149	18.3736	7	1	7	32.44531	7.701891	0.1566613	0.6308553	0.1347803	5.904806E-02	5.034516E-02	4.539539E-02	0.1458384	0	20.47301	41.37012
0	10.1159	18.3736	8	1	8	32.42294	7.634015	0.5298814	0.5592606	0.139894	-1.365913E-02	0.1095763	0.1287775	0.2115072	0	20.55706	41.72219
0	10.1169	18.3736	9	1	9	32.00954	7.47645	1.289628	0.5767753	0.1398726	2.967766E-02	6.572566E-03	-4.281557E-02	0.0990564	0	20.41205	41.58475
0	10.1179	18.3736	10	1	10	31.24415	7.729594	1.583182	0.596521	0.1195712	4.305289E-02	0.1259815	0.1887032	-2.078364E-02	0	20.28438	41.60997
0	10.1189	18.3736	11	1	11	30.1451	7.445115	3.678012	0.6428739	0.1330353	-1.448807E-03	8.013888E-02	0.1245826	4.387563E-02	0	20.13124	42.29129
0	10.1199	18.3736	12	1	12	28.79206	7.040806	5.570619	0.7044104	0.1198172	3.898498E-02	0.1033982	4.602236E-03	0.0415758	0	19.80885	42.41628
0	10.1209	18.3736	13	1	13	29.57623	6.360972	8.116355	0.7207525	0.1098835	7.748643E-02	3.322572E-02	-3.49941E-03	0.1746258	0	20.68081	45.16603
0	10.1219	18.3736	14	1	14	31.13483	6.919038	2.122665	0.5471694	9.332735E-02	1.373187E-02	5.612577E-02	0.1553793	0.1155233	0	20.01493	41.15778
0	10.1229	18.3736	15	1	15	32.22133	8.579113	0.3699428	0.5982638	0.1173065	4.521318E-02	3.376023E-02	-9.286438E-03	9.563462E-03	0	20.71709	41.96521
0	10.1239	18.3736	16	1	16	32.56504	8.695138	0.4774582	0.5067087	0.1067052	1.551123E-02	4.112719E-02	7.301341E-02	0.1675646	0	20.99978	42.64827
0	10.1249	18.3736	17	1	17	34.54802	8.242167	2.583023	0.3365467	0.0899635	2.874057E-02	5.716128E-02	-4.521385E-02	7.353166E-02	0	22.46267	45.91393
0	10.1259	18.3736	18	1	18	33.03389	3.165032	4.645066	0.3280415	0.0434809	2.653649E-02	0.0289464	3.579933E-02	-3.676891E-03	0	20.21161	41.30312
0	10.1269	18.3736	19	1	19	26.27013	0.6025089	1.387501	0.3553824	1.010114E-02	0.116211	-1.951085E-03	4.513646E-02	-8.842775E-02	0	14.68377	28.69659
0	10.1279	18.3736	20	1	20	33.76872	0.2072043	1.672792	0.3391686	1.192914E-02	5.869647E-02	4.974571E-02	-0.0154597	0.0271222	0	18.60831	36.11992
0	10.1289	18.3736	21	1	21	46.64845	0.5078459	2.537093	0.104136	9.99661E-03	-1.320535E-02	4.117311E-02	0.014513	-6.618253E-02	0	25.77872	49.78382
0	10.1299	18.3736	22	1	22	52.08769	0.4556047	2.897931	-5.375381E-03	0.023585	4.406302E-02	-1.998062E-02	7.134859E-02	-2.122572E-02	0	28.76826	55.53365
0	10.1309	18.3736	23	1	23	51.79659	0.4854721	2.296455	2.808438E-03	8.011252E-03	1.570282E-02	-1.088672E-02	0.0431609	3.446184E-03	0	28.44241	54.64076
0	10.1319	18.3736	24	1	24	38.85651	3.330765	0.7514395	0.3712653	8.158526E-02	5.943846E-02	5.919997E-02	0.133026	-1.812095E-02	0	22.31637	43.62512
0	10.1329	18.3736	25	1	25	33.02642	7.632515	0.4037943	0.5887216	0.172449	0.1022446	7.659807E-02	-1.120935E-02	7.778825E-02	0	20.84726	42.06932
0	10.1339	18.3736	26	1	26	32.25606	7.707373	0.3988304	0.5954401	0.1617351	7.247096E-02	6.659694E-02	0.1879386	0.1421083	0	20.48126	41.58855
0	10.1349	18.3736	27	1	27	31.98721	7.765839	0.3945868	0.571925	0.1779606	8.739217E-02	5.004705E-02	0.103494	7.534356E-02	0	20.33636	41.21379
0	10.1359	18.3736	28	1	28	31.69456	7.748785	0.4430223	0.594488	0.1800717	0.101838	0.1021344	-1.236076E-02	0.123357	0	20.21688	40.9759
0	10.1369	18.3736	29	1	29	31.75344	7.858017	0.5654358	0.6263651	0.1111046	0.1307179	5.924968E-02	-1.090214E-02	5.472765E-02	0	20.30726	41.14816
0	10.1379	18.3736	30	1	30	30.95585	7.843371	0.7137319	0.6376054	0.1406059	0.3729202	7.645037E-02	1.880489E-02	-1.500792E-02	0	20.05998	40.74433
0	10.1389	18.3736	31	1	31	30.76676	7.763097	1.40907	0.7501884	0.1119789	0.7661088	0.0834906	1.406304E-02	0.1206077	0	20.37074	41.78536
0	10.1399	18.3736	32	1	32	29.27874	8.001875	2.775839	0.9408689	0.2026038	2.611482	4.775501E-02	9.973927E-02	-2.185605E-02	0	21.0734	43.93705
0	10.1409	18.3736	33	1	33	27.19141	7.693832	5.274689	1.569145	0.1494342	5.543759	7.065462E-02	6.13056E-03	8.968804E-02	0	22.22125	47.58875
