77	69	5313	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	8.2834	14.8376	1	1	1	0.9563022	0.3622822	0.1316368	0.7661268	3.316207E-02	7.738873E-02	4.543396E-02	5.658414E-03	0.2125211	0	0.7934363	2.590512
0	8.2844	14.8376	2	1	2	0.2227432	6.257019E-02	0.1252363	6.713151E-02	2.312071E-02	2.117069E-02	2.443597E-02	5.265104E-02	0.2704428	0	0	0.8695024
0	8.2854	14.8376	3	1	3	0.1727403	5.124564E-02	0.1223655	0.6534891	2.900091E-03	2.784368E-02	2.662778E-02	0.1445523	5.983509E-03	0	0.2010779	1.207748
0	8.2864	14.8376	4	1	4	0.1405174	-3.117534E-02	0.0999337	7.580579E-03	0.0157602	9.681094E-02	8.729186E-03	0.1792696	0.1791397	0	0	0.6965659
0	8.2874	14.8376	5	1	5	6.899379E-02	1.316825E-02	0.1135645	0.4969566	5.886962E-03	-3.892665E-02	6.516011E-03	-5.966595E-02	-0.1309121	0	2.840624E-02	0.4755815
0	8.2884	14.8376	6	1	6	0.1708539	-1.704465E-02	0.1350332	0.152872	1.573463E-02	4.556993E-02	1.631783E-02	7.991134E-02	0.1661109	0	0	0.7653592
0	8.2894	14.8376	7	1	7	3.190154E-02	2.832085E-02	0.1235025	0.5386198	1.572219E-02	-2.005341E-02	4.505817E-02	3.606268E-02	-9.833515E-02	0	7.011276E-02	0.7007992
0	8.2904	14.8376	8	1	8	0.1675926	-1.447815E-02	0.1576382	9.512842E-02	3.127867E-02	5.878869E-02	4.700404E-02	0.3531173	0.3363595	0	0	1.232429
0	8.2914	14.8376	9	1	9	0.1833367	2.469951E-02	0.1548797	0.6097913	-6.195608E-03	1.017912E-02	1.884625E-02	0.1363362	0.0607357	0	0.1976352	1.192609
0	8.2924	14.8376	10	1	10	0.1961037	-6.633291E-02	0.1821224	0.128771	2.773471E-02	7.029197E-02	3.908048E-02	0.4377112	9.804161E-02	0	0	1.113524
0	8.2934	14.8376	11	1	11	0.1098273	2.200711E-02	0.1839397	0.6038454	-1.396206E-03	1.797533E-02	-3.075968E-02	6.052454E-02	-0.1974825	0	9.143353E-02	0.768481
0	8.2944	14.8376	12	1	12	0.1289211	3.972728E-02	0.2175317	0.5977116	6.208207E-03	-2.181661E-02	5.657383E-04	9.873174E-03	0.257071	0	0.1735842	1.235793
0	8.2954	14.8376	13	1	13	4.908884E-02	0.0212655	0.1709822	0.5271944	3.929226E-03	2.506049E-02	-7.90813E-03	8.645047E-02	0.1440226	0	0.1265471	1.020086
0	8.2964	14.8376	14	1	14	0.1318376	1.302166E-02	0.2535314	0.6970792	6.613408E-03	2.703098E-02	1.901929E-02	4.408144E-02	8.203582E-02	0	0.1928435	1.274251
0	8.2974	14.8376	15	1	15	8.486659E-02	6.539881E-03	0.2770126	0.6246327	1.626784E-02	7.614113E-02	2.159111E-02	0.152676	7.167398E-02	0	0.2156571	1.331402
0	8.2984	14.8376	16	1	16	-0.0222146	-5.626053E-04	0.2584054	0.500883	-9.898004E-03	-1.954007E-02	3.105472E-02	6.724175E-02	0.2281992	0	0.1125527	1.033569
0	8.2994	14.8376	17	1	17	5.934506E-02	1.777661E-02	0.3325137	0.6543188	1.437378E-02	-1.314135E-03	3.506932E-02	5.404895E-02	8.713213E-02	0	0.174519	1.253264
0	8.3004	14.8376	18	1	18	6.353178E-02	2.288456E-03	0.4631682	0.7644871	3.691529E-04	-1.274292E-02	-3.799089E-02	2.963919E-02	0.1129952	0	0.1578208	1.385745
0	8.3014	14.8376	19	1	19	1.021428	5.900148E-02	1.172197	1.321536	1.593601E-02	0.6115695	2.446235E-02	0.1459747	0.1434394	0	1.303658	4.515543
0	8.3024	14.8376	20	1	20	7.182308	1.518825	16.04672	2.137941	4.474586E-02	12.41988	-1.582771E-02	-2.390568E-02	-5.633768E-02	0	15.98468	39.25436
