150	102	15300	17	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"Calc. O"	"Total"
0	-8.4926	-3.9551	1	1	1	94.76663	-2.967551E-02	-0.0261705	0.1017327	-3.224525E-03	-5.425126E-02	-8.447373E-03	-0.1098944	-5.882175E-02	0	44.18769
0	-8.4916	-3.9551	2	1	2	95.15578	-1.906807E-02	-3.117268E-02	0.0862757	-1.887071E-02	-6.840095E-02	-3.409901E-02	-0.1375035	-0.12729	0	44.24287
0	-8.4906	-3.9551	3	1	3	96.03665	-8.872593E-03	-1.571606E-02	0.0674634	1.047153E-02	-4.008136E-02	-2.622888E-02	3.502466E-02	-8.427653E-02	0	44.88168
0	-8.4896	-3.9551	4	1	4	95.09883	-2.829073E-02	-3.711602E-02	-3.757517E-02	-1.708236E-02	3.725666E-03	-4.319975E-02	-8.038235E-02	-0.1055547	0	44.17947
0	-8.4886	-3.9551	5	1	5	95.42867	-1.220183E-02	-3.001155E-02	-6.659824E-02	-0.0130133	-5.406837E-02	9.238046E-03	-0.1089345	-0.128132	0	44.27563
0	-8.4876	-3.9551	6	1	6	95.53944	-2.717696E-02	-2.635062E-02	9.102424E-03	-2.113727E-02	-0.0108627	-1.725977E-02	-2.241243E-02	-0.106412	0	44.48913
0	-8.4866	-3.9551	7	1	7	95.00034	-4.652101E-02	-1.454747E-02	8.857754E-03	-1.344633E-02	-5.476779E-02	-3.517655E-02	-5.389186E-02	3.198467E-02	0	44.30634
0	-8.4856	-3.9551	8	1	8	95.00627	-0.0309149	-0.0341434	-3.651409E-02	-1.501223E-02	-3.959686E-02	-3.432123E-02	-0.1972798	-3.455776E-02	0	44.08547
0	-8.4846	-3.9551	9	1	9	95.353	-3.138448E-02	-7.035549E-03	0.0710399	-1.278075E-03	-0.0253237	-3.461954E-02	-8.094012E-02	-0.0593368	0	44.47207
0	-8.4836	-3.9551	10	1	10	95.22688	-1.670515E-02	-1.098552E-02	7.200808E-02	-3.19584E-03	-5.421903E-02	-5.189053E-02	-0.1391677	-3.532112E-02	0	44.36952
0	-8.4826	-3.9551	11	1	11	95.3818	-2.430971E-02	-3.737752E-02	-3.301292E-03	-1.918043E-02	-2.540327E-02	-6.955443E-02	-8.141217E-02	-3.640455E-02	0	44.38102
0	-8.4816	-3.9551	12	1	12	95.7506	-2.665765E-02	-3.407995E-02	-1.856592E-02	-7.043299E-03	-5.404193E-02	-1.682706E-02	-7.934947E-02	-0.1514702	0	44.46336
0	-8.4806	-3.9551	13	1	13	95.39801	-2.853572E-02	-2.351029E-02	-2.561585E-02	-1.119563E-02	3.695577E-03	2.00086E-04	7.401409E-03	-0.1529801	0	44.39847
0	-8.4796	-3.9551	14	1	14	95.36451	-2.878948E-02	-2.798992E-02	6.163093E-02	-1.077234E-02	-3.913789E-02	-1.634653E-02	-0.1949171	-0.1493433	0	44.2724
0	-8.4786	-3.9551	15	1	15	95.40018	-1.537046E-02	-0.0247459	7.080468E-03	-1.709197E-02	-3.974087E-02	3.514226E-02	-0.1098869	-0.0589069	0	44.40868
0	-8.4776	-3.9551	16	1	16	95.97086	-1.750376E-02	-2.802085E-02	0.10025	-1.929057E-02	-1.100304E-02	-3.494378E-02	-2.361704E-02	-1.410313E-02	0	44.85906
0	-8.4766	-3.9551	17	1	17	95.45409	-1.289147E-02	-4.296995E-02	-5.521107E-02	-1.923024E-02	-6.902111E-02	-3.483276E-02	3.601646E-02	-0.1304351	0	44.38046
0	-8.4756	-3.9551	18	1	18	95.40128	-2.520392E-02	-3.538729E-02	2.649513E-02	-0.0115745	-1.139805E-02	-5.282243E-02	-2.546072E-02	7.769652E-02	0	44.58635
0	-8.4746	-3.9551	19	1	19	95.38694	-3.620842E-02	-1.976432E-02	8.936689E-03	-1.930028E-02	-2.557992E-02	-3.497714E-02	5.947795E-03	-6.083541E-02	0	44.46836
0	-8.4736	-3.9551	20	1	20	94.79598	-0.028262	-4.123356E-02	2.820992E-02	-1.115953E-02	-5.427091E-02	-0.0432588	-8.037396E-02	-8.230413E-02	0	44.10122
0	-8.4726	-3.9551	21	1	21	95.7056	-4.764067E-02	-0.0209506	-7.486966E-02	-5.334383E-03	-0.0399665	-4.353044E-02	6.642896E-03	-0.1070285	0	44.49118
0	-8.4716	-3.9551	22	1	22	95.6981	-2.050364E-02	-1.309019E-02	4.077198E-02	-1.087717E-02	0.0188154	-4.268702E-02	-0.1369935	-0.150351	0	44.48629
0	-8.4706	-3.9551	23	1	23	96.17368	-3.834459E-02	-2.446315E-02	3.529646E-02	-9.039911E-03	-3.953131E-02	9.315261E-03	-0.1974066	-1.127518E-02	0	44.74864
0	-8.4696	-3.9551	24	1	24	95.19154	-2.992108E-02	-3.995174E-02	-2.080135E-03	-1.714822E-02	-2.530529E-02	-0.0172193	-8.079287E-02	-5.933072E-02	0	44.29208
0	-8.4686	-3.9551	25	1	25	95.65709	-1.783114E-02	-1.879505E-02	6.939328E-02	-1.890853E-02	-6.850476E-02	-8.027714E-03	-0.1083133	-0.1277179	0	44.50478
0	-8.4676	-3.9551	26	1	26	95.05441	-2.855022E-02	-9.762459E-03	-0.0504354	-1.519848E-02	-1.084969E-02	-8.588247E-03	-5.156117E-02	-8.299744E-02	0	44.21846
0	-8.4666	-3.9551	27	1	27	94.98323	-3.558918E-02	-5.472586E-03	-1.096093E-02	-5.216242E-03	3.767491E-03	-3.457517E-02	-8.043129E-02	-0.0824273	0	44.20531
0	-8.4656	-3.9551	28	1	28	95.50568	-2.304684E-02	-2.919859E-02	-1.316333E-02	-5.348696E-03	-3.998437E-02	-4.356184E-02	-2.282497E-02	-6.031344E-02	0	44.4831
0	-8.4646	-3.9551	29	1	29	95.12223	-4.115032E-02	-9.380392E-03	3.794342E-02	-1.702939E-02	3.938789E-03	-3.438966E-02	-0.1386203	-5.827602E-02	0	44.27238
