86	119	10234	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	34.9614	0.7164	1	1	1	31.90922	6.78194	0.1243174	0.5726353	0.128295	-4.211984E-02	5.811752E-02	0.1296	0.2116157	0	19.78275	39.87363
0	34.9624	0.7164	2	1	2	32.0278	6.964456	0.1331348	0.6298346	0.177848	1.572654E-02	0.1017179	0.1025155	0.1438428	0	19.96571	40.29688
0	34.9634	0.7164	3	1	3	32.02999	6.962874	0.1151902	0.5668417	0.1606891	4.529954E-02	5.085557E-02	-1.049592E-02	7.798693E-02	0	19.92103	39.99923
0	34.9644	0.7164	4	1	4	32.17661	6.875463	0.130455	0.5431664	0.1285762	-4.171902E-02	9.321596E-02	0.0734091	0.1672805	0	19.97054	40.14645
0	34.9654	0.7164	5	1	5	32.207	7.072372	0.1218174	0.6705063	0.1328778	-4.110928E-02	7.662114E-02	0.1648246	-6.245707E-02	0	20.03269	40.34245
0	34.9664	0.7164	6	1	6	32.03059	7.035015	0.174293	0.5107716	0.1837732	-4.169362E-02	8.448922E-02	7.364058E-02	0.1441628	0	19.96005	40.19504
0	34.9674	0.7164	7	1	7	32.63305	7.027169	0.1853444	0.5156298	0.148336	4.462531E-02	0.1278434	1.542102E-02	0.1911099	0	20.35387	40.88853
0	34.9684	0.7164	8	1	8	32.36632	6.754011	0.1779697	0.5685811	0.1684114	-2.676047E-02	9.386843E-02	-4.046603E-02	0.1238912	0	20.02261	40.18582
0	34.9694	0.7164	9	1	9	32.41954	7.04721	0.2007416	0.5483093	0.1464472	1.739866E-03	0.067578	7.531079E-02	7.581372E-02	0	20.18418	40.5827
0	34.9704	0.7164	10	1	10	32.35193	7.096782	0.1510262	0.5409697	0.1239698	6.759116E-04	6.622159E-02	0.2445967	0.186131	0	20.19332	40.76231
